token_id,num_classes,classes,total_usage,TUM,STR,LYM,NEC,dominant_class,confidence
7880,4,"TUM,STR,LYM,NEC",16989,7698,5989,1027,2275,TUM,0.4531
5392,4,"TUM,STR,LYM,NEC",16959,8369,5922,950,1718,TUM,0.4935
5428,4,"TUM,STR,LYM,NEC",16710,7414,5615,1422,2259,TUM,0.4437
3230,4,"TUM,STR,LYM,NEC",16445,7908,5632,1047,1858,TUM,0.4809
6702,4,"TUM,STR,LYM,NEC",16322,8631,5345,737,1609,TUM,0.5288
1682,4,"TUM,STR,LYM,NEC",16179,7919,5550,907,1803,TUM,0.4895
5912,4,"TUM,STR,LYM,NEC",16000,6813,5411,1725,2051,TUM,0.4258
3209,4,"TUM,STR,LYM,NEC",15959,7944,5072,954,1989,TUM,0.4978
4311,4,"TUM,STR,LYM,NEC",15606,6851,5633,1554,1568,TUM,0.439
3889,4,"TUM,STR,LYM,NEC",15418,6663,5518,1512,1725,TUM,0.4322
6226,4,"TUM,STR,LYM,NEC",15398,6555,6092,1284,1467,TUM,0.4257
8081,4,"TUM,STR,LYM,NEC",15337,7306,5344,787,1900,TUM,0.4764
781,4,"TUM,STR,LYM,NEC",15184,6200,6037,1109,1838,TUM,0.4083
4430,4,"TUM,STR,LYM,NEC",15002,8022,4458,751,1771,TUM,0.5347
7175,4,"TUM,STR,LYM,NEC",15002,6658,5860,963,1521,TUM,0.4438
8013,4,"TUM,STR,LYM,NEC",14992,6333,4773,1983,1903,TUM,0.4224
5797,4,"TUM,STR,LYM,NEC",14817,7170,5689,618,1340,TUM,0.4839
237,4,"TUM,STR,LYM,NEC",14798,6965,4886,1043,1904,TUM,0.4707
1476,4,"TUM,STR,LYM,NEC",14709,6608,4997,1588,1516,TUM,0.4492
267,4,"TUM,STR,LYM,NEC",14566,7983,4160,747,1676,TUM,0.5481
3044,4,"TUM,STR,LYM,NEC",14468,6897,4655,1048,1868,TUM,0.4767
4376,4,"TUM,STR,LYM,NEC",14435,7107,4708,927,1693,TUM,0.4923
216,4,"TUM,STR,LYM,NEC",14348,5892,5213,1315,1928,TUM,0.4106
6054,4,"TUM,STR,LYM,NEC",14296,8082,3572,1316,1326,TUM,0.5653
7024,4,"TUM,STR,LYM,NEC",14217,6510,5570,872,1265,TUM,0.4579
7249,4,"TUM,STR,LYM,NEC",14082,6017,4749,1616,1700,TUM,0.4273
1836,4,"TUM,STR,LYM,NEC",14042,6103,5756,698,1485,TUM,0.4346
516,4,"TUM,STR,LYM,NEC",13953,6341,4694,1052,1866,TUM,0.4545
5999,4,"TUM,STR,LYM,NEC",13935,7368,4137,773,1657,TUM,0.5287
5872,4,"TUM,STR,LYM,NEC",13843,6575,5017,792,1459,TUM,0.475
7733,4,"TUM,STR,LYM,NEC",13830,7994,3888,718,1230,TUM,0.578
2666,4,"TUM,STR,LYM,NEC",13769,6716,4462,1085,1506,TUM,0.4878
2967,4,"TUM,STR,LYM,NEC",13719,6935,4308,706,1770,TUM,0.5055
7695,4,"TUM,STR,LYM,NEC",13704,7499,4275,687,1243,TUM,0.5472
331,4,"TUM,STR,LYM,NEC",13569,7074,4430,753,1312,TUM,0.5213
3000,4,"TUM,STR,LYM,NEC",13358,5764,4289,1223,2082,TUM,0.4315
840,4,"TUM,STR,LYM,NEC",13320,6800,4010,999,1511,TUM,0.5105
2336,4,"TUM,STR,LYM,NEC",13206,7323,3856,600,1427,TUM,0.5545
7165,4,"TUM,STR,LYM,NEC",13193,7953,3302,725,1213,TUM,0.6028
6724,4,"TUM,STR,LYM,NEC",13177,7725,3465,887,1100,TUM,0.5862
44,4,"TUM,STR,LYM,NEC",13147,6912,4048,662,1525,TUM,0.5257
145,4,"TUM,STR,LYM,NEC",12932,6636,4084,631,1581,TUM,0.5131
2990,4,"TUM,STR,LYM,NEC",12853,5251,4373,1314,1915,TUM,0.4085
7808,4,"TUM,STR,LYM,NEC",12804,5418,4131,1483,1772,TUM,0.4231
5741,4,"TUM,STR,LYM,NEC",12784,5043,3933,1564,2244,TUM,0.3945
778,4,"TUM,STR,LYM,NEC",12780,5053,4171,1688,1868,TUM,0.3954
7337,4,"TUM,STR,LYM,NEC",12749,5989,4061,1107,1592,TUM,0.4698
335,4,"TUM,STR,LYM,NEC",12721,6368,4359,618,1376,TUM,0.5006
7089,4,"TUM,STR,LYM,NEC",12706,6352,4347,625,1382,TUM,0.4999
3619,4,"TUM,STR,LYM,NEC",12578,5268,3911,1441,1958,TUM,0.4188
2756,4,"TUM,STR,LYM,NEC",12571,5958,4869,667,1077,TUM,0.4739
7869,4,"TUM,STR,LYM,NEC",12418,6072,4062,716,1568,TUM,0.489
915,4,"TUM,STR,LYM,NEC",12401,6148,4406,599,1248,TUM,0.4958
4911,4,"TUM,STR,LYM,NEC",12396,5843,4693,686,1174,TUM,0.4714
1357,4,"TUM,STR,LYM,NEC",12339,6407,4019,639,1274,TUM,0.5192
1977,4,"TUM,STR,LYM,NEC",12332,6630,3857,468,1377,TUM,0.5376
5810,4,"TUM,STR,LYM,NEC",12262,7073,3233,792,1164,TUM,0.5768
4250,4,"TUM,STR,LYM,NEC",12252,5609,4515,564,1564,TUM,0.4578
4160,4,"TUM,STR,LYM,NEC",12241,6041,4297,529,1374,TUM,0.4935
6678,4,"TUM,STR,LYM,NEC",12220,5676,4157,783,1604,TUM,0.4645
2278,4,"TUM,STR,LYM,NEC",12170,5632,3880,966,1692,TUM,0.4628
6931,4,"TUM,STR,LYM,NEC",12144,5976,3677,939,1552,TUM,0.4921
2977,4,"TUM,STR,LYM,NEC",12119,5694,4573,653,1199,TUM,0.4698
2870,4,"TUM,STR,LYM,NEC",12108,6364,3727,540,1477,TUM,0.5256
7899,4,"TUM,STR,LYM,NEC",12079,5210,3968,1338,1563,TUM,0.4313
5834,4,"TUM,STR,LYM,NEC",11957,5055,4898,618,1386,TUM,0.4228
1373,4,"TUM,STR,LYM,NEC",11923,6891,3059,908,1065,TUM,0.578
8148,4,"TUM,STR,LYM,NEC",11921,5484,4355,802,1280,TUM,0.46
6869,4,"TUM,STR,LYM,NEC",11859,4822,4201,1375,1461,TUM,0.4066
4259,4,"TUM,STR,LYM,NEC",11783,5585,4261,848,1089,TUM,0.474
5098,4,"TUM,STR,LYM,NEC",11677,5195,4216,883,1383,TUM,0.4449
6121,4,"TUM,STR,LYM,NEC",11676,5094,3940,1061,1581,TUM,0.4363
7948,4,"TUM,STR,LYM,NEC",11650,5175,4317,941,1217,TUM,0.4442
594,4,"TUM,STR,LYM,NEC",11623,5547,4063,759,1254,TUM,0.4772
5717,4,"TUM,STR,LYM,NEC",11606,5630,3697,750,1529,TUM,0.4851
5433,4,"TUM,STR,LYM,NEC",11526,5222,3767,1089,1448,TUM,0.4531
5097,4,"TUM,STR,LYM,NEC",11520,6087,3960,427,1046,TUM,0.5284
2493,4,"TUM,STR,LYM,NEC",11513,5711,3569,730,1503,TUM,0.496
389,4,"TUM,STR,LYM,NEC",11507,5425,3959,814,1309,TUM,0.4715
3189,4,"TUM,STR,LYM,NEC",11484,5769,3848,688,1179,TUM,0.5024
5203,4,"TUM,STR,LYM,NEC",11372,5238,3960,556,1618,TUM,0.4606
7091,4,"TUM,STR,LYM,NEC",11337,4363,3923,1394,1657,TUM,0.3848
1312,4,"TUM,STR,LYM,NEC",11183,5820,3392,607,1364,TUM,0.5204
2083,4,"TUM,STR,LYM,NEC",11151,5976,3105,758,1312,TUM,0.5359
1654,4,"TUM,STR,LYM,NEC",11116,4635,3668,1056,1757,TUM,0.417
8110,4,"TUM,STR,LYM,NEC",11064,5725,3362,513,1464,TUM,0.5174
3030,4,"TUM,STR,LYM,NEC",10847,4054,3624,1308,1861,TUM,0.3737
4725,4,"TUM,STR,LYM,NEC",10842,6020,3001,720,1101,TUM,0.5552
1911,4,"TUM,STR,LYM,NEC",10813,4639,3639,1298,1237,TUM,0.429
5603,4,"TUM,STR,LYM,NEC",10794,4649,3742,850,1553,TUM,0.4307
5023,4,"TUM,STR,LYM,NEC",10742,4995,3233,951,1563,TUM,0.465
2028,4,"TUM,STR,LYM,NEC",10727,6157,2771,787,1012,TUM,0.574
2686,4,"TUM,STR,LYM,NEC",10689,4531,3927,1242,989,TUM,0.4239
144,4,"TUM,STR,LYM,NEC",10630,4269,3903,1118,1340,TUM,0.4016
1311,4,"TUM,STR,LYM,NEC",10613,4291,3787,970,1565,TUM,0.4043
5065,4,"TUM,STR,LYM,NEC",10560,5010,3853,655,1042,TUM,0.4744
168,4,"TUM,STR,LYM,NEC",10548,4917,3793,665,1173,TUM,0.4662
935,4,"TUM,STR,LYM,NEC",10526,4673,3671,897,1285,TUM,0.4439
836,4,"TUM,STR,LYM,NEC",10434,6300,2469,856,809,TUM,0.6038
693,4,"TUM,STR,LYM,NEC",10397,4540,3808,657,1392,TUM,0.4367
6192,4,"TUM,STR,LYM,NEC",10378,5146,3308,641,1283,TUM,0.4959
808,4,"TUM,STR,LYM,NEC",10354,5973,2523,948,910,TUM,0.5769
7895,4,"TUM,STR,LYM,NEC",10261,5499,3481,439,842,TUM,0.5359
582,4,"TUM,STR,LYM,NEC",10233,4324,3639,1118,1152,TUM,0.4226
4143,4,"TUM,STR,LYM,NEC",10209,4401,3590,1033,1185,TUM,0.4311
7442,4,"TUM,STR,LYM,NEC",10182,4170,3405,1247,1360,TUM,0.4095
3908,4,"TUM,STR,LYM,NEC",10152,4826,3519,613,1194,TUM,0.4754
4377,4,"TUM,STR,LYM,NEC",10012,4283,3471,1221,1037,TUM,0.4278
6902,4,"TUM,STR,LYM,NEC",9991,4437,4051,413,1090,TUM,0.4441
2766,4,"TUM,STR,LYM,NEC",9977,4251,3948,547,1231,TUM,0.4261
1413,4,"TUM,STR,LYM,NEC",9956,5649,2451,862,994,TUM,0.5674
4080,4,"TUM,STR,LYM,NEC",9929,4638,3325,686,1280,TUM,0.4671
5763,4,"TUM,STR,LYM,NEC",9929,4229,3428,817,1455,TUM,0.4259
5235,4,"TUM,STR,LYM,NEC",9922,5111,2943,555,1313,TUM,0.5151
3021,4,"TUM,STR,LYM,NEC",9921,5734,2548,574,1065,TUM,0.578
5213,4,"TUM,STR,LYM,NEC",9910,5790,2441,549,1130,TUM,0.5843
6657,4,"TUM,STR,LYM,NEC",9896,4895,3256,495,1250,TUM,0.4946
6960,4,"TUM,STR,LYM,NEC",9873,5172,3158,463,1080,TUM,0.5239
124,4,"TUM,STR,LYM,NEC",9869,4418,3630,622,1199,TUM,0.4477
725,4,"TUM,STR,LYM,NEC",9853,3716,3535,1003,1599,TUM,0.3771
453,4,"TUM,STR,LYM,NEC",9841,4342,3456,959,1084,TUM,0.4412
371,4,"TUM,STR,LYM,NEC",9839,5543,2277,1047,972,TUM,0.5634
8066,4,"TUM,STR,LYM,NEC",9780,5084,3035,503,1158,TUM,0.5198
3870,4,"TUM,STR,LYM,NEC",9738,4326,3849,660,903,TUM,0.4442
898,4,"TUM,STR,LYM,NEC",9725,5093,3108,668,856,TUM,0.5237
4322,4,"TUM,STR,LYM,NEC",9714,3998,3216,1507,993,TUM,0.4116
3477,4,"TUM,STR,LYM,NEC",9694,5357,2298,1263,776,TUM,0.5526
5047,4,"TUM,STR,LYM,NEC",9691,4791,2965,811,1124,TUM,0.4944
601,4,"TUM,STR,LYM,NEC",9690,4393,3712,723,862,TUM,0.4534
2588,4,"TUM,STR,LYM,NEC",9671,4502,3516,724,929,TUM,0.4655
1869,4,"TUM,STR,LYM,NEC",9659,4872,3069,537,1181,TUM,0.5044
390,4,"TUM,STR,LYM,NEC",9639,4658,2345,1958,678,TUM,0.4832
2140,4,"TUM,STR,LYM,NEC",9619,4077,3415,908,1219,TUM,0.4238
7501,4,"TUM,STR,LYM,NEC",9600,4816,3074,618,1092,TUM,0.5017
6652,4,"TUM,STR,LYM,NEC",9591,4946,3131,412,1102,TUM,0.5157
3127,4,"TUM,STR,LYM,NEC",9530,4024,3330,1069,1107,TUM,0.4222
2776,4,"TUM,STR,LYM,NEC",9519,4225,3236,845,1213,TUM,0.4438
3469,4,"TUM,STR,LYM,NEC",9462,5406,2520,552,984,TUM,0.5713
7589,4,"TUM,STR,LYM,NEC",9459,4324,3684,441,1010,TUM,0.4571
632,4,"TUM,STR,LYM,NEC",9419,4107,3844,619,849,TUM,0.436
4693,4,"TUM,STR,LYM,NEC",9396,4445,3270,537,1144,TUM,0.4731
4100,4,"TUM,STR,LYM,NEC",9372,4910,2816,605,1041,TUM,0.5239
352,4,"TUM,STR,LYM,NEC",9345,4592,2993,472,1288,TUM,0.4914
7549,4,"TUM,STR,LYM,NEC",9343,4442,3000,600,1301,TUM,0.4754
6814,4,"TUM,STR,LYM,NEC",9339,5161,2697,567,914,TUM,0.5526
6905,4,"TUM,STR,LYM,NEC",9338,5241,2685,548,864,TUM,0.5613
6219,4,"TUM,STR,LYM,NEC",9311,5316,2515,717,763,TUM,0.5709
5039,4,"TUM,STR,LYM,NEC",9273,5351,2231,659,1032,TUM,0.5771
5735,4,"TUM,STR,LYM,NEC",9263,4788,2815,501,1159,TUM,0.5169
332,4,"TUM,STR,LYM,NEC",9215,4685,2694,715,1121,TUM,0.5084
6809,4,"TUM,STR,LYM,NEC",9195,5450,2248,495,1002,TUM,0.5927
5561,4,"TUM,STR,LYM,NEC",9188,3763,2879,1301,1245,TUM,0.4096
6782,4,"TUM,STR,LYM,NEC",9152,5141,2592,396,1023,TUM,0.5617
4112,4,"TUM,STR,LYM,NEC",9139,4033,3794,497,815,TUM,0.4413
7129,4,"TUM,STR,LYM,NEC",9137,4148,3860,377,752,TUM,0.454
4559,4,"TUM,STR,LYM,NEC",9125,3901,3308,927,989,TUM,0.4275
4480,4,"TUM,STR,LYM,NEC",9120,3842,2809,1056,1413,TUM,0.4213
1203,4,"TUM,STR,LYM,NEC",9105,3894,3566,546,1099,TUM,0.4277
515,4,"TUM,STR,LYM,NEC",9097,3931,3420,688,1058,TUM,0.4321
3637,4,"TUM,STR,LYM,NEC",9085,3738,3631,492,1224,TUM,0.4114
2780,4,"TUM,STR,LYM,NEC",9052,3965,3600,656,831,TUM,0.438
1157,4,"TUM,STR,LYM,NEC",9012,4096,3332,469,1115,TUM,0.4545
4001,4,"TUM,STR,LYM,NEC",9001,3922,3124,915,1040,TUM,0.4357
7400,4,"TUM,STR,LYM,NEC",8973,4668,2989,401,915,TUM,0.5202
7119,4,"TUM,STR,LYM,NEC",8959,3819,2922,1030,1188,TUM,0.4263
1001,4,"TUM,STR,LYM,NEC",8956,4404,3005,484,1063,TUM,0.4917
7357,4,"TUM,STR,LYM,NEC",8947,3767,3470,631,1079,TUM,0.421
6808,4,"TUM,STR,LYM,NEC",8919,4844,2528,367,1180,TUM,0.5431
7450,4,"TUM,STR,LYM,NEC",8904,4875,2509,504,1016,TUM,0.5475
5702,4,"TUM,STR,LYM,NEC",8880,4324,2777,535,1244,TUM,0.4869
8082,4,"TUM,STR,LYM,NEC",8811,4958,2208,544,1101,TUM,0.5627
7222,4,"TUM,STR,LYM,NEC",8764,5354,2079,511,820,TUM,0.6109
4593,4,"TUM,STR,LYM,NEC",8732,4229,2642,684,1177,TUM,0.4843
5344,4,"TUM,STR,LYM,NEC",8721,3691,3722,546,762,STR,0.4268
8101,4,"TUM,STR,LYM,NEC",8710,4050,2940,796,924,TUM,0.465
7819,4,"TUM,STR,LYM,NEC",8676,3584,3402,804,886,TUM,0.4131
6571,4,"TUM,STR,LYM,NEC",8658,5004,2225,601,828,TUM,0.578
1508,4,"TUM,STR,LYM,NEC",8626,3957,3264,466,939,TUM,0.4587
162,4,"TUM,STR,LYM,NEC",8606,3598,3519,375,1114,TUM,0.4181
6807,4,"TUM,STR,LYM,NEC",8592,4030,3119,445,998,TUM,0.469
5611,4,"TUM,STR,LYM,NEC",8577,4411,2599,486,1081,TUM,0.5143
7007,4,"TUM,STR,LYM,NEC",8573,4171,2776,471,1155,TUM,0.4865
3901,4,"TUM,STR,LYM,NEC",8562,3771,3301,504,986,TUM,0.4404
1463,4,"TUM,STR,LYM,NEC",8524,4312,2890,461,861,TUM,0.5059
4947,4,"TUM,STR,LYM,NEC",8503,4336,2561,553,1053,TUM,0.5099
2430,4,"TUM,STR,LYM,NEC",8501,4535,2927,311,728,TUM,0.5335
5094,4,"TUM,STR,LYM,NEC",8494,4436,2491,496,1071,TUM,0.5223
2194,4,"TUM,STR,LYM,NEC",8466,4340,2476,590,1060,TUM,0.5126
1767,4,"TUM,STR,LYM,NEC",8437,4666,2105,972,694,TUM,0.553
7957,4,"TUM,STR,LYM,NEC",8433,4127,3128,391,787,TUM,0.4894
7835,4,"TUM,STR,LYM,NEC",8403,2416,2459,2851,677,LYM,0.3393
2326,4,"TUM,STR,LYM,NEC",8380,4214,2554,466,1146,TUM,0.5029
5166,4,"TUM,STR,LYM,NEC",8367,3960,2759,586,1062,TUM,0.4733
4642,4,"TUM,STR,LYM,NEC",8361,3876,2896,645,944,TUM,0.4636
1716,4,"TUM,STR,LYM,NEC",8354,4263,2782,349,960,TUM,0.5103
3626,4,"TUM,STR,LYM,NEC",8329,3540,2837,892,1060,TUM,0.425
6979,4,"TUM,STR,LYM,NEC",8276,4096,2513,562,1105,TUM,0.4949
3527,4,"TUM,STR,LYM,NEC",8263,4013,2781,580,889,TUM,0.4857
186,4,"TUM,STR,LYM,NEC",8248,3966,2812,431,1039,TUM,0.4808
6227,4,"TUM,STR,LYM,NEC",8219,3973,2889,467,890,TUM,0.4834
828,4,"TUM,STR,LYM,NEC",8208,3605,3050,672,881,TUM,0.4392
6966,4,"TUM,STR,LYM,NEC",8194,4605,2201,403,985,TUM,0.562
1008,4,"TUM,STR,LYM,NEC",8173,3529,3079,533,1032,TUM,0.4318
2235,4,"TUM,STR,LYM,NEC",8155,3877,2874,524,880,TUM,0.4754
697,4,"TUM,STR,LYM,NEC",8154,4851,1961,561,781,TUM,0.5949
6892,4,"TUM,STR,LYM,NEC",8144,3845,2550,643,1106,TUM,0.4721
7164,4,"TUM,STR,LYM,NEC",8138,3536,3011,680,911,TUM,0.4345
6048,4,"TUM,STR,LYM,NEC",8113,3557,2697,661,1198,TUM,0.4384
34,4,"TUM,STR,LYM,NEC",8109,4182,2524,390,1013,TUM,0.5157
5424,4,"TUM,STR,LYM,NEC",8080,3767,2859,655,799,TUM,0.4662
2557,4,"TUM,STR,LYM,NEC",8072,3331,2554,900,1287,TUM,0.4127
7853,4,"TUM,STR,LYM,NEC",8052,3719,2589,648,1096,TUM,0.4619
7591,4,"TUM,STR,LYM,NEC",8035,3722,2599,625,1089,TUM,0.4632
1150,4,"TUM,STR,LYM,NEC",8013,4195,2373,427,1018,TUM,0.5235
2249,4,"TUM,STR,LYM,NEC",7998,3242,2829,753,1174,TUM,0.4054
7149,4,"TUM,STR,LYM,NEC",7990,4782,1777,737,694,TUM,0.5985
6964,4,"TUM,STR,LYM,NEC",7985,4069,2805,298,813,TUM,0.5096
7360,4,"TUM,STR,LYM,NEC",7985,3419,2586,882,1098,TUM,0.4282
4166,4,"TUM,STR,LYM,NEC",7982,3807,2646,564,965,TUM,0.4769
3487,4,"TUM,STR,LYM,NEC",7971,3359,2969,568,1075,TUM,0.4214
6480,4,"TUM,STR,LYM,NEC",7969,3806,2636,505,1022,TUM,0.4776
6194,4,"TUM,STR,LYM,NEC",7919,3006,2590,958,1365,TUM,0.3796
7916,4,"TUM,STR,LYM,NEC",7918,4691,1959,557,711,TUM,0.5924
1624,4,"TUM,STR,LYM,NEC",7895,3567,2677,703,948,TUM,0.4518
2602,4,"TUM,STR,LYM,NEC",7877,3481,2475,912,1009,TUM,0.4419
6388,4,"TUM,STR,LYM,NEC",7849,3924,2482,441,1002,TUM,0.4999
4492,4,"TUM,STR,LYM,NEC",7821,4180,2076,881,684,TUM,0.5345
7430,4,"TUM,STR,LYM,NEC",7811,3484,3090,495,742,TUM,0.446
1389,4,"TUM,STR,LYM,NEC",7806,3634,2769,450,953,TUM,0.4655
4968,4,"TUM,STR,LYM,NEC",7801,4889,1670,681,561,TUM,0.6267
5498,4,"TUM,STR,LYM,NEC",7799,3627,2628,481,1063,TUM,0.4651
276,4,"TUM,STR,LYM,NEC",7792,3323,3059,537,873,TUM,0.4265
6137,4,"TUM,STR,LYM,NEC",7790,3885,2821,382,702,TUM,0.4987
8041,4,"TUM,STR,LYM,NEC",7775,4233,2310,467,765,TUM,0.5444
3728,4,"TUM,STR,LYM,NEC",7769,4119,2513,349,788,TUM,0.5302
2635,4,"TUM,STR,LYM,NEC",7760,4272,2018,635,835,TUM,0.5505
2650,4,"TUM,STR,LYM,NEC",7752,3172,2640,689,1251,TUM,0.4092
794,4,"TUM,STR,LYM,NEC",7740,3471,2650,715,904,TUM,0.4484
7212,4,"TUM,STR,LYM,NEC",7728,4164,2208,327,1029,TUM,0.5388
7612,4,"TUM,STR,LYM,NEC",7679,4221,2119,392,947,TUM,0.5497
6628,4,"TUM,STR,LYM,NEC",7661,3687,2651,447,876,TUM,0.4813
7807,4,"TUM,STR,LYM,NEC",7657,3932,1880,1108,737,TUM,0.5135
7032,4,"TUM,STR,LYM,NEC",7641,4006,2433,377,825,TUM,0.5243
1586,4,"TUM,STR,LYM,NEC",7599,4606,1791,639,563,TUM,0.6061
8014,4,"TUM,STR,LYM,NEC",7588,3254,2532,701,1101,TUM,0.4288
7674,4,"TUM,STR,LYM,NEC",7582,3247,2629,832,874,TUM,0.4283
6856,4,"TUM,STR,LYM,NEC",7573,3263,2586,620,1104,TUM,0.4309
7599,4,"TUM,STR,LYM,NEC",7569,3766,2573,292,938,TUM,0.4976
1775,4,"TUM,STR,LYM,NEC",7566,3469,2891,357,849,TUM,0.4585
7101,4,"TUM,STR,LYM,NEC",7539,3222,2294,759,1264,TUM,0.4274
8165,4,"TUM,STR,LYM,NEC",7531,3293,2582,648,1008,TUM,0.4373
1218,4,"TUM,STR,LYM,NEC",7514,3752,2369,433,960,TUM,0.4993
3823,4,"TUM,STR,LYM,NEC",7503,3697,2438,462,906,TUM,0.4927
297,4,"TUM,STR,LYM,NEC",7419,3159,2704,746,810,TUM,0.4258
5716,4,"TUM,STR,LYM,NEC",7411,3651,2417,402,941,TUM,0.4926
1571,4,"TUM,STR,LYM,NEC",7384,4704,1604,486,590,TUM,0.6371
9,4,"TUM,STR,LYM,NEC",7380,3387,2556,524,913,TUM,0.4589
1569,4,"TUM,STR,LYM,NEC",7380,3229,2592,794,765,TUM,0.4375
2021,4,"TUM,STR,LYM,NEC",7371,3917,2108,411,935,TUM,0.5314
3024,4,"TUM,STR,LYM,NEC",7357,3228,2743,386,1000,TUM,0.4388
1356,4,"TUM,STR,LYM,NEC",7345,3920,2260,292,873,TUM,0.5337
256,4,"TUM,STR,LYM,NEC",7332,3645,1963,969,755,TUM,0.4971
4290,4,"TUM,STR,LYM,NEC",7326,3436,2848,394,648,TUM,0.469
130,4,"TUM,STR,LYM,NEC",7315,3620,2376,403,916,TUM,0.4949
2815,4,"TUM,STR,LYM,NEC",7305,2970,2845,524,966,TUM,0.4066
3247,4,"TUM,STR,LYM,NEC",7301,3802,2153,437,909,TUM,0.5208
4247,4,"TUM,STR,LYM,NEC",7267,3486,2298,546,937,TUM,0.4797
4198,4,"TUM,STR,LYM,NEC",7265,4481,1562,602,620,TUM,0.6168
5207,4,"TUM,STR,LYM,NEC",7243,3282,2569,628,764,TUM,0.4531
2540,4,"TUM,STR,LYM,NEC",7236,3357,2666,409,804,TUM,0.4639
581,4,"TUM,STR,LYM,NEC",7223,3567,2396,416,844,TUM,0.4938
4150,4,"TUM,STR,LYM,NEC",7208,3413,2243,538,1014,TUM,0.4735
2000,4,"TUM,STR,LYM,NEC",7207,3842,2109,358,898,TUM,0.5331
1460,4,"TUM,STR,LYM,NEC",7171,3324,2410,397,1040,TUM,0.4635
6595,4,"TUM,STR,LYM,NEC",7161,3538,2325,428,870,TUM,0.4941
8049,4,"TUM,STR,LYM,NEC",7152,3357,2646,264,885,TUM,0.4694
3268,4,"TUM,STR,LYM,NEC",7146,3910,2065,344,827,TUM,0.5472
3346,4,"TUM,STR,LYM,NEC",7121,3879,2028,383,831,TUM,0.5447
7224,4,"TUM,STR,LYM,NEC",7101,3884,1790,681,746,TUM,0.547
2031,4,"TUM,STR,LYM,NEC",7089,4379,1675,394,641,TUM,0.6177
4691,4,"TUM,STR,LYM,NEC",7086,3600,2348,381,757,TUM,0.508
2876,4,"TUM,STR,LYM,NEC",7066,3975,1953,293,845,TUM,0.5626
6354,4,"TUM,STR,LYM,NEC",7061,3547,2355,419,740,TUM,0.5023
3126,4,"TUM,STR,LYM,NEC",7056,3037,2448,586,985,TUM,0.4304
8140,4,"TUM,STR,LYM,NEC",7056,2818,2464,742,1032,TUM,0.3994
5913,4,"TUM,STR,LYM,NEC",7043,3934,2112,292,705,TUM,0.5586
3026,4,"TUM,STR,LYM,NEC",7026,2341,2798,973,914,STR,0.3982
4859,4,"TUM,STR,LYM,NEC",7004,3943,1788,398,875,TUM,0.563
4965,4,"TUM,STR,LYM,NEC",7004,4218,1544,589,653,TUM,0.6022
5194,4,"TUM,STR,LYM,NEC",6997,3377,2416,514,690,TUM,0.4826
1298,4,"TUM,STR,LYM,NEC",6980,3499,2227,433,821,TUM,0.5013
7647,4,"TUM,STR,LYM,NEC",6977,4502,1379,615,481,TUM,0.6453
1967,4,"TUM,STR,LYM,NEC",6973,3395,2485,391,702,TUM,0.4869
6264,4,"TUM,STR,LYM,NEC",6937,3253,2384,416,884,TUM,0.4689
